kabupaten,luas_panen,produktivitas,produksi,tahun,curah_hujan_rataan,curah_hujan_total,suhu_rataan,suhu_maksimum,suhu_minimum,kelembapan_rataan
cilegon,1895.05,51.26,9714.09,2020,7.9728415300546445,2918.06,27.40472677595628,28.72,26.04,83.3651912568306
serang,13662.57,53.44,73013.87,2020,7.9728415300546445,5836.12,27.40472677595628,28.72,26.04,83.3651912568306
pandeglang,85561.46,50.73,434087.91,2021,8.30868493150685,3032.67,27.316931506849315,28.66,26.17,82.81391780821919
lebak,75286.68,50.42,379567.82,2021,8.477013698630138,3094.11,25.586301369863012,27.03,23.93,86.6381095890411
tangerang,64616.0,50.63,327151.31,2021,8.278493150684932,6043.3,26.456561643835617,28.97,23.93,84.94264383561644
serang,78827.17,48.63,383353.44,2021,8.669643835616439,6328.84,27.166383561643833,28.47,25.75,83.46405479452055
tangerang,582.8,52.98,3087.95,2021,8.278493150684932,6043.3,26.456561643835617,28.97,23.93,84.94264383561644
cilegon,1719.87,52.55,9037.99,2021,8.669643835616439,3164.42,27.166383561643833,28.47,25.75,83.46405479452055
serang,11654.48,57.45,66960.58,2021,8.669643835616439,6328.84,27.166383561643833,28.47,25.75,83.46405479452055
pandeglang,95925.14,57.67,553202.57,2022,7.947561643835617,2900.86,27.185287671232874,28.54,25.91,83.31939726027397
lebak,82353.92,52.26,430413.56,2022,7.258328767123287,2649.29,25.470246575342465,27.03,23.77,87.03191780821918
tangerang,61015.22,47.5,289798.4,2022,6.8451506849315065,4996.96,26.375876712328765,28.77,23.77,85.07313698630136
serang,84760.35,52.7,446654.32,2022,6.704904109589041,4894.58,27.076986301369864,28.38,25.98,83.65797260273972
tangerang,610.11,56.14,3424.91,2022,6.8451506849315065,4996.96,26.375876712328765,28.77,23.77,85.07313698630136
cilegon,1719.38,52.93,9101.37,2022,6.704904109589041,2447.29,27.076986301369864,28.38,25.98,83.65797260273972
serang,10856.62,51.57,55987.47,2022,6.704904109589041,4894.58,27.076986301369864,28.38,25.98,83.65797260273972
pandeglang,87157.84,55.19,481001.54,2023,4.872356164383562,1778.41,27.31282191780822,29.04,25.46,81.56509589041096
lebak,78300.16,50.65,396558.51,2023,4.966054794520548,1812.61,26.019369863013697,28.67,24.14,83.13117808219178
tangerang,55304.56,52.45,290083.09,2023,4.708383561643836,3437.12,26.91641095890411,30.04,24.14,81.57439726027397
serang,77724.63,57.78,449067.08,2023,5.250821917808219,3833.1,27.631424657534243,29.76,25.68,80.26706849315069
tangerang,524.62,62.19,3262.85,2023,4.708383561643836,3437.12,26.91641095890411,30.04,24.14,81.57439726027397
cilegon,1686.96,53.25,8982.9,2023,5.250821917808219,1916.55,27.631424657534243,29.76,25.68,80.26706849315069
serang,10500.96,54.78,57527.32,2023,5.250821917808219,3833.1,27.631424657534243,29.76,25.68,80.26706849315069
pandeglang,77466.21,53.52,414576.37,2024,7.808387978142076,2857.87,27.881338797814205,29.34,26.04,82.13207650273225
lebak,74016.18,48.23,357013.22,2024,7.926857923497268,2901.23,26.36830601092896,27.84,24.21,84.79161202185792
tangerang,58366.18,51.17,298677.72,2024,7.239849726775956,5299.57,27.251898907103826,29.42,24.21,83.02439890710383
serang,75987.48,53.84,409149.71,2024,7.253524590163934,5309.58,27.985054644808745,29.29,26.61,81.3444262295082
