kabupaten,luas_panen,produktivitas,produksi,tahun
Kota Yogyakarta,"8,26",52.17,43.09,2022
Kota Yogyakarta,"7,08",50.96,36.08,2023
Kota Yogyakarta,"11,43",51.0,58.29,2024
Kota Yogyakarta,"16,00",53.96,88.0,2025
Kota Jakarta Timur,"33,92",59.49,201.8,2018
Kota Jakarta Barat,"30,69",62.17,190.8,2018
Kota Jakarta Timur,"41,91",59.42,249.01,2019
Kota Jakarta Barat,"27,27",59.49,162.22,2019
Kota Jakarta Timur,"29,11",57.45,167.25,2020
Kota Jakarta Barat,"93,67",54.66,511.97,2020
Kota Jakarta Timur,"37,93",57.67,218.75,2021
Kota Jakarta Barat,"42,39",61.57,260.98,2021
Kota Jakarta Timur,"33,54",55.88,187.41,2022
Kota Jakarta Barat,"37,85",47.88,181.21,2022
Kota Jakarta Timur,"45,40",55.32,251.17,2023
Kota Jakarta Barat,"36,33",50.74,184.35,2023
Kota Jakarta Timur,"28,31",56.05,158.68,2024
Kota Jakarta Barat,"27,25",51.65,140.75,2024
Kota Jakarta Timur,"25,00",54.81,137.0,2025
Kota Jakarta Barat,"55,00",54.8,300.0,2025
Kab. Bogor,"61617,01",56.59,348683.62,2018
Kab. Sukabumi,"102963,67",51.07,525859.03,2018
Kab. Cianjur,"124685,4",55.88,696725.99,2018
Kab. Bandung,"54427,68",57.85,314869.16,2018
Kab. Garut,"80402,15",55.92,449584.54,2018
Kab. Tasikmalaya,"88756,44",57.47,510048.82,2018
Kab. Ciamis,"55153,36",57.33,316212.98,2018
Kab. Kuningan,"51501,89",61.05,314443.94,2018
Kab. Cirebon,"98981,65",55.82,552564.77,2018
Kab. Majalengka,"90247,5",61.41,554231.74,2018
Kab. Sumedang,"58924,49",56.09,330508.46,2018
Kab. Indramayu,"238107,56",59.42,1414730.62,2018
Kab. Subang,"173693,25",57.05,990994.87,2018
Kab. Purwakarta,"32959,22",53.79,177276.3,2018
Kab. Karawang,"199474,94",56.83,1133671.33,2018
Kab. Bekasi,"109811,31",49.63,544986.21,2018
Kab. Bandung Barat,"31641,73",54.02,170934.99,2018
Kab. Pangandaran,"34218,69",56.81,194398.08,2018
Kota Bogor,"81,81",51.38,420.38,2018
Kota Sukabumi,"2566,25",56.26,14436.5,2018
Kota Bandung,"1375,64",59.93,8244.51,2018
Kota Cirebon,"348,55",50.72,1767.92,2018
Kota Bekasi,"441,34",55.73,2459.63,2018
Kota Depok,"62,67",56.97,357.06,2018
Kota Cimahi,"70,95",55.51,393.82,2018
Kota Tasikmalaya,"9096,45",51.61,46943.05,2018
Kota Banjar,"5642,21",56.02,31610.43,2018
Kab. Bogor,"54987,79",55.99,307860.89,2019
Kab. Sukabumi,"93377,51",50.2,468764.28,2019
Kab. Cianjur,"117909,06",54.43,641804.29,2019
Kab. Bandung,"56310,25",61.13,344214.39,2019
Kab. Garut,"80397,63",55.9,449395.01,2019
Kab. Tasikmalaya,"83365,36",52.93,441241.69,2019
Kab. Ciamis,"51209,15",54.04,276734.07,2019
Kab. Kuningan,"44201,18",49.76,219953.32,2019
Kab. Cirebon,"87700,59",57.31,502574.97,2019
Kab. Majalengka,"94996,45",60.21,572005.83,2019
Kab. Sumedang,"56438,9",53.63,302668.85,2019
Kab. Indramayu,"215731,12",63.8,1376429.68,2019
Kab. Subang,"156298,5",60.33,942932.04,2019
Kab. Purwakarta,"26452,65",54.37,143820.03,2019
Kab. Karawang,"185806,99",60.16,1117813.97,2019
Kab. Bekasi,"97749,45",56.23,549639.74,2019
Kab. Bandung Barat,"29184,27",54.48,158988.38,2019
Kab. Pangandaran,"29858,96",58.47,174597.02,2019
Kota Bogor,"62,29",48.85,304.28,2019
Kota Sukabumi,"2391,05",63.17,15103.37,2019
Kota Bandung,"1214,88",60.23,7317.23,2019
Kota Cirebon,"231,11",47.2,1090.79,2019
Kota Bekasi,"518,27",58.76,3045.2,2019
Kota Depok,"84,99",54.72,465.03,2019
Kota Cimahi,"70,93",57.32,406.54,2019
Kota Tasikmalaya,"7231,25",51.22,37041.64,2019
Kota Banjar,"5055,12",56.86,28744.69,2019
Kab. Bogor,"55692,05",53.68,298974.65,2020
Kab. Sukabumi,"93371,47",55.85,521459.25,2020
Kab. Cianjur,"113856,46",54.72,622992.32,2020
Kab. Bandung,"50150,32",55.27,277156.28,2020
Kab. Garut,"77873,41",54.56,424913.9,2020
Kab. Tasikmalaya,"72941,41",60.92,444358.24,2020
Kab. Ciamis,"52925,2",53.43,282791.46,2020
Kab. Kuningan,"45785,65",60.57,277317.9,2020
Kab. Cirebon,"83233,39",59.72,497080.1,2020
Kab. Majalengka,"98037,63",57.77,566334.48,2020
Kab. Sumedang,"55892,07",54.96,307178.0,2020
Kab. Indramayu,"226626,09",60.16,1363311.87,2020
Kab. Subang,"169416,08",57.3,970759.74,2020
Kab. Purwakarta,"30315,68",52.76,159957.49,2020
Kab. Karawang,"181915,22",59.8,1087873.9,2020
Kab. Bekasi,"103171,69",48.86,504103.31,2020
Kab. Bandung Barat,"29196,89",56.39,164640.49,2020
Kab. Pangandaran,"29313,07",52.87,154982.57,2020
Kota Bogor,"33,32",45.7,152.26,2020
Kota Sukabumi,"2335,74",62.22,14532.67,2020
Kota Bandung,"1074,49",63.28,6799.08,2020
Kota Cirebon,"225,82",45.67,1031.24,2020
Kota Bekasi,"483,64",56.3,2723.05,2020
Kota Depok,"30,99",61.06,189.23,2020
Kota Cimahi,"77,49",56.45,437.44,2020
Kota Tasikmalaya,"7569,3",48.02,36349.8,2020
Kota Banjar,"5344,06",53.09,28371.86,2020
Kab. Bogor,"57426,46",49.66,285154.0,2021
Kab. Sukabumi,"89510,44",55.07,492926.27,2021
Kab. Cianjur,"113538,5",53.88,611773.02,2021
Kab. Bandung,"50552,68",61.46,310715.2,2021
Kab. Garut,"75965,56",58.36,443319.91,2021
Kab. Tasikmalaya,"82934,85",53.77,445909.19,2021
Kab. Ciamis,"55013,02",58.23,320330.73,2021
Kab. Kuningan,"47236,3",58.41,275893.22,2021
Kab. Cirebon,"84946,29",54.71,464730.69,2021
Kab. Majalengka,"97515,62",54.79,534250.18,2021
Kab. Sumedang,"53341,28",49.12,262037.84,2021
Kab. Indramayu,"227051,34",58.12,1319623.64,2021
Kab. Subang,"163946,73",58.52,959456.43,2021
Kab. Purwakarta,"32930,64",50.98,167865.29,2021
Kab. Karawang,"197916,26",62.36,1234133.75,2021
Kab. Bekasi,"100338,32",58.56,587586.07,2021
Kab. Bandung Barat,"27654,55",52.97,146494.62,2021
Kab. Pangandaran,"27677,79",50.58,140000.72,2021
Kota Bogor,"36,09",47.69,172.1,2021
Kota Sukabumi,"2456,16",61.57,15123.41,2021
Kota Bandung,"1025,58",69.21,7097.77,2021
Kota Cirebon,"231,68",53.72,1244.61,2021
Kota Bekasi,"477,98",48.21,2304.54,2021
Kota Depok,"45,39",53.83,244.35,2021
Kota Cimahi,"76,62",57.78,442.71,2021
Kota Tasikmalaya,"8539,85",57.52,49118.08,2021
Kota Banjar,"5723,33",62.24,35624.74,2021
Kab. Bogor,"56002,23",53.55,299893.8,2022
Kab. Sukabumi,"95012,99",53.49,508220.48,2022
Kab. Cianjur,"115877,18",53.33,617941.03,2022
Kab. Bandung,"47537,79",60.84,289205.7,2022
Kab. Garut,"75951,04",58.11,441316.2,2022
Kab. Tasikmalaya,"81310,17",53.0,430961.73,2022
Kab. Ciamis,"55844,25",54.74,305676.17,2022
Kab. Kuningan,"48250,13",57.53,277583.76,2022
Kab. Cirebon,"84892,18",58.27,494699.98,2022
Kab. Majalengka,"100950,53",56.08,566087.34,2022
Kab. Sumedang,"56662,01",52.62,298163.0,2022
Kab. Indramayu,"245329,29",60.42,1482255.86,2022
Kab. Subang,"177986,35",58.36,1038780.58,2022
Kab. Purwakarta,"34396,95",54.87,188731.69,2022
Kab. Karawang,"204326,26",60.05,1226880.08,2022
Kab. Bekasi,"103088,97",53.91,555747.09,2022
Kab. Bandung Barat,"29201,93",52.62,153648.29,2022
Kab. Pangandaran,"30115,9",49.37,148670.61,2022
Kota Bogor,"32,21",54.02,173.99,2022
Kota Sukabumi,"2176,04",60.91,13254.34,2022
Kota Bandung,"995,22",72.21,7186.11,2022
Kota Cirebon,"159,8",53.93,861.82,2022
Kota Bekasi,"454,07",41.15,1868.44,2022
Kota Depok,"14,55",49.57,72.13,2022
Kota Cimahi,"59,59",56.73,338.03,2022
Kota Tasikmalaya,"9797,97",55.35,54233.66,2022
Kota Banjar,"5978,36",52.31,31271.18,2022
Kab. Bogor,"50999,48",55.54,283266.58,2023
Kab. Sukabumi,"93866,34",54.59,512391.58,2023
Kab. Cianjur,"115749,72",56.17,650123.11,2023
Kab. Bandung,"49366,27",60.8,300142.89,2023
Kab. Garut,"74538,34",60.88,453787.94,2023
Kab. Tasikmalaya,"69685,72",56.16,391379.69,2023
Kab. Ciamis,"53976,46",55.42,299124.49,2023
Kab. Kuningan,"44815,65",58.24,261023.34,2023
Kab. Cirebon,"82797,11",59.89,495878.2,2023
Kab. Majalengka,"100124,09",55.77,558430.27,2023
Kab. Sumedang,"53525,51",53.64,287112.51,2023
Kab. Indramayu,"230456,96",61.8,1424303.1,2023
Kab. Subang,"174864,99",58.77,1027659.54,2023
Kab. Purwakarta,"31884,84",58.5,186533.23,2023
Kab. Karawang,"189064,62",59.87,1131976.57,2023
Kab. Bekasi,"93338,02",53.28,497339.49,2023
Kab. Bandung Barat,"26709,13",53.62,143212.52,2023
Kab. Pangandaran,"30250,9",46.05,139300.3,2023
Kota Bogor,"25,76",47.99,123.61,2023
Kota Sukabumi,"2699,69",59.96,16187.08,2023
Kota Bandung,"901,17",70.19,6325.63,2023
Kota Cirebon,"137,1",56.12,769.39,2023
Kota Bekasi,"306,86",42.9,1316.49,2023
Kota Depok,"5,82",52.42,30.51,2023
Kota Cimahi,"76,61",57.5,440.48,2023
Kota Tasikmalaya,"7863,88",50.83,39968.81,2023
Kota Banjar,"5625,24",56.69,31891.85,2023
Kab. Bogor,"50168,52",59.73,299675.82,2024
Kab. Sukabumi,"81612,3",57.2,466835.93,2024
Kab. Cianjur,"105305,7",59.91,630847.78,2024
Kab. Bandung,"51947,62",64.33,334188.58,2024
Kab. Garut,"71635,66",63.51,454937.51,2024
Kab. Tasikmalaya,"66324,47",53.29,353415.07,2024
